category,question,a,b,c,d,answer,explanation
AIの基礎知識,人工知能（AI）という言葉が初めて公式に使われた1956年の国際会議を何と呼ぶか？,ダボス会議,ダートマス会議,ジュネーブ会議,ヤルタ会議,b,1956年に開催されたダートマス会議でジョン・マッカーシーらが初めて「人工知能（Artificial Intelligence）」という言葉を使用しました。
AIの基礎知識,第1次AIブームにおいて中心的な役割を果たした技術分野はどれか？,ディープラーニング,エキスパートシステム,推論と探索,Transformer,c,1950年代後半から始まった第1次AIブームではパズルや迷路などを解く「推論と探索」が盛んに研究されました。
AIの基礎知識,第1次AIブームが衰退する原因となった「現実の複雑な問題は解けない」という限界を示す言葉はどれか？,シンギュラリティ,トイ・プロブレム（おもちゃの問題）,知識獲得のボトルネック,フレーム問題,b,迷路やチェスのようなルールが明確な問題（トイ・プロブレム）は解けても現実の複雑な問題には対応できないことが明らかになりブームは終焉しました。
AIの基礎知識,第2次AIブームで主流となった専門家の知識をルールとしてコンピュータに登録し推論を行うシステムは？,ニューラルネットワーク,エキスパートシステム,LLM,強化学習,b,1980年代の第2次AIブームでは特定の専門知識を「もし〜ならば〜である」というルール形式で記述するエキスパートシステムが普及しました。
AIの基礎知識,第2次AIブームが終焉を迎える原因となった人間の持つ膨大な常識をすべて手作業で入力することの困難さを指す言葉はどれか？,知識獲得のボトルネック,モラベックのパラドックス,勾配消失問題,過学習,a,専門家の知識をシステムに記述する作業には限界があり常識を教え込むことの難しさが「知識獲得のボトルネック」と呼ばれました。
AIの基礎知識,2010年代から始まり現在のAIの発展を牽引している「第3次AIブーム」のブレイクスルーとなった技術はどれか？,遺伝的アルゴリズム,ファジィ論理,ディープラーニング（深層学習）,セマンティックWeb,c,ビッグデータと計算機の性能向上を背景にディープラーニングが実用化されたことで第3次AIブームが到来しました。
AIの基礎知識,現在のAIの主流であり特定の決まったタスク（画像認識や翻訳など）のみを実行できるAIを何と呼ぶか？,汎用AI（AGI）,特化型AI,強いAI,自律型AI,b,人間のように多様な状況に対応できる汎用AIに対し特定の機能に特化して高い性能を発揮するものを特化型AIと呼びます。
AIの基礎知識,人間の心や意識を真に持ち自意識を備えたAIの概念を指す言葉はどれか？,弱いAI,強いAI,生成AI,エキスパートシステム,b,哲学者ジョン・サールが提唱した概念で単なる情報処理だけでなく人間と同じように意識を持つとされるAIを「強いAI」と呼びます。
AIの基礎知識,機械が人間のような知能を持っているかを判定するためアラン・チューリングが考案したテストはどれか？,チューリングテスト,フレームテスト,シンボルグラウンディングテスト,認知機能テスト,a,人間の判定者がディスプレイ越しに会話を行い相手が機械か人間か区別できなければその機械は知能を持つとみなすテストです。
AIの基礎知識,有限の情報処理能力しかないAIが現実世界のあらゆる事象から「今解決すべき問題に関係のある事柄」だけを選び出すのは困難であるという問題は？,シンボルグラウンディング問題,フレーム問題,チューリング問題,過学習問題,b,1969年にジョン・マッカーシーらが提唱した人工知能における重要な未解決問題の一つです。
